Training Strategy,Clean,FGSM (ε=0.05),PGD (ε=0.05)
pgd_only,0.9966975375116663,0.9915284657907962,0.9908823318256874
fgsm_only,0.9969847081628258,0.9954052695814488,0.7515255940842845
combined,0.996841122837246,0.993179697034963,0.9882260033024625
no_adv_training,0.9975590494651446,0.26871993682245676,0.20834230741618207
