Dataset,Model,Clean,FGSM,PGD
CICDDoS-2019,Baseline,0.9975590494651446,0.26871993682245676,0.20834230741618207
CICDDoS-2019,Robust (Proposed),0.9966975375116663,0.9915284657907962,0.9908105391628975
InSDN,Baseline,0.9995333333333334,0.9736666666666667,0.6913333333333334
InSDN,Robust (Proposed),0.9994666666666666,0.9994666666666666,0.9994666666666666
